,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
22,238.48,212.38,238.07,240.81,47.76,80.03,86.18,17.51,164.27,122.93,75.56,93.63,83.92,76.12,116.41,91.38,76.29,73.18,99.43,33.25,23.99,6.85,0.0,53.65,231.23,203.19,238.89,162.68,113.43,161.01,102.57,96.04,200.26,92.85,115.52,126.45,173.53,149.72,135.94,123.12,189.72,175.89,191.82,121.21,191.0,127.13,251.54,220.46,262.2,226.55,250.82,163.39,153.32,155.81,146.8,175.0,83.1,51.85,180.56,155.25
23,181.88,175.03,181.47,196.29,102.14,51.54,41.66,70.37,126.92,85.58,54.85,65.14,81.47,47.63,73.75,62.89,76.34,28.66,54.91,21.73,42.45,59.72,54.82,0.0,174.63,146.59,182.29,125.33,68.91,123.66,58.05,43.51,155.74,40.32,71.0,81.93,129.01,82.87,98.59,85.77,145.2,115.1,147.3,76.69,129.57,89.78,214.19,175.94,224.85,189.2,213.47,100.66,95.01,118.46,102.28,109.45,54.61,17.61,115.01,117.89
24,9.8,46.73,7.12,115.98,199.54,149.85,134.96,217.81,62.69,119.81,153.16,152.19,179.78,156.61,135.44,141.95,174.65,144.58,117.62,194.71,197.19,228.51,235.15,171.99,0.0,37.9,10.48,65.12,117.86,70.18,116.41,134.84,148.24,138.88,101.41,92.91,121.51,95.34,120.69,120.0,104.94,59.38,139.8,101.63,86.6,111.87,92.52,132.46,103.19,87.16,91.8,77.94,87.64,68.91,87.69,71.9,147.97,179.35,59.29,69.44
25,44.86,15.76,44.45,119.1,171.48,121.79,106.9,189.75,38.59,91.75,125.1,124.13,151.72,128.55,107.38,113.9,146.6,116.52,89.56,166.65,169.13,200.45,207.09,143.93,37.61,0.0,45.27,40.24,89.8,45.3,88.35,106.78,120.18,110.82,73.35,64.85,93.45,67.28,92.63,91.94,76.89,31.32,111.74,73.57,58.54,83.81,95.64,140.38,106.31,55.55,94.92,49.88,59.59,44.03,59.64,43.84,119.91,151.29,31.23,44.55
26,4.55,53.86,9.14,122.77,206.67,156.98,142.09,224.94,69.82,126.94,160.29,159.32,186.91,163.74,142.57,149.09,181.79,151.71,124.75,201.84,204.32,235.64,242.28,179.12,10.8,45.03,0.0,72.26,124.99,77.31,123.54,141.97,155.37,146.01,108.54,100.04,128.64,102.47,127.82,127.14,112.08,66.51,146.93,108.76,93.73,119.01,99.31,139.25,109.97,93.95,98.59,85.07,94.78,76.05,94.83,79.03,155.11,186.48,66.42,76.57
27,72.19,62.01,71.79,124.63,127.07,77.38,75.65,145.34,3.08,47.34,80.69,79.72,107.31,84.14,62.97,69.48,102.18,83.67,56.71,122.24,124.72,156.04,162.68,125.46,64.95,52.81,72.6,0.0,56.94,13.2,57.2,73.92,109.49,77.97,40.5,31.99,82.76,41.03,28.76,47.53,60.88,14.7,101.04,40.71,42.53,39.4,101.16,129.69,111.83,76.18,100.45,11.8,19.59,7.99,43.63,26.53,75.5,106.88,21.94,8.51
28,127.32,105.48,126.91,128.22,152.67,102.98,40.29,170.94,59.09,72.94,106.29,105.32,132.91,109.74,88.57,95.09,127.78,41.77,17.13,81.6,102.32,119.59,114.69,69.18,120.07,92.03,127.73,57.5,0.0,63.12,31.85,32.31,87.67,36.07,16.86,32.5,60.94,32.23,61.31,73.13,77.13,60.54,79.23,24.92,61.5,65.0,144.63,107.87,155.3,94.58,143.91,46.1,46.31,57.93,34.21,54.87,101.1,74.15,60.45,57.36
29,76.62,69.68,76.22,132.3,123.12,73.43,71.71,141.4,13.98,43.39,76.75,75.78,103.37,80.19,59.03,65.54,98.24,87.64,60.69,118.3,120.78,152.09,158.74,121.52,69.38,44.62,77.03,12.09,60.92,0.0,53.26,77.9,113.47,81.95,44.48,35.97,86.74,37.08,24.46,43.59,68.34,25.59,105.02,44.69,49.99,35.46,108.83,133.67,119.5,83.85,108.11,15.49,15.29,4.04,51.09,33.99,71.56,102.94,39.55,5.67
30,125.62,106.29,125.21,147.47,107.97,58.28,19.73,126.24,58.18,24.79,61.59,60.62,88.21,65.04,43.87,50.39,83.09,29.58,21.47,69.56,82.23,136.94,94.6,57.14,118.37,90.32,126.03,56.58,31.35,54.91,0.0,33.68,106.92,30.49,14.64,25.67,80.19,20.65,28.42,23.97,96.39,58.84,98.48,14.56,69.19,19.61,145.44,127.13,156.11,120.46,144.72,44.4,32.71,49.72,53.46,53.19,56.41,53.21,58.75,49.15
31,144.89,123.04,144.48,159.34,129.2,78.6,31.79,112.75,76.66,57.63,81.91,92.19,108.53,74.68,76.71,83.23,103.4,26.26,17.91,64.1,84.83,102.09,97.2,43.57,137.64,109.59,145.3,75.06,31.96,80.69,33.29,0.0,118.79,3.6,34.01,44.94,92.06,45.88,61.26,56.81,108.26,78.11,110.35,39.69,92.63,52.45,162.19,139.0,172.86,137.21,161.47,63.67,58.01,75.5,65.33,72.45,81.67,56.65,78.02,74.93
32,156.06,134.21,155.65,42.01,205.39,155.71,128.22,223.67,105.04,125.67,159.02,158.05,185.64,162.46,141.3,147.81,180.51,129.7,105.06,169.53,190.26,234.37,202.62,157.11,148.81,120.76,156.47,103.44,89.09,115.85,108.72,120.25,0.0,124.0,93.73,85.22,33.46,94.23,114.04,125.86,49.65,94.95,9.51,98.0,90.17,117.73,57.67,21.66,69.68,90.48,59.82,92.05,99.03,110.66,61.8,83.54,153.83,162.08,87.69,110.09
33,148.73,126.89,148.32,163.14,126.12,75.51,28.71,109.66,80.5,54.79,78.82,89.11,105.44,71.6,73.88,80.39,100.32,23.17,21.76,61.02,81.74,99.01,94.11,40.49,141.48,113.44,149.14,78.91,35.76,84.53,30.45,3.19,122.59,0.0,37.85,48.78,95.86,49.72,58.43,53.97,112.05,81.95,114.15,43.54,96.42,49.61,166.04,142.79,176.71,141.06,165.32,67.51,61.86,79.34,69.13,76.3,78.58,53.57,81.86,78.77
34,111.58,89.74,111.18,133.43,121.44,71.75,34.04,139.72,43.35,38.26,75.07,74.1,101.69,78.51,57.35,63.86,96.56,43.49,16.53,83.32,104.05,121.31,116.42,70.9,104.34,76.29,111.99,41.76,17.32,47.39,15.48,33.75,92.89,37.79,0.0,11.63,66.16,12.2,32.4,37.44,82.35,44.8,84.44,8.55,55.15,33.08,128.89,113.09,139.56,103.91,128.17,30.36,24.71,42.19,39.43,39.15,69.88,75.87,44.71,41.62
35,100.9,79.05,100.49,125.56,123.13,73.44,44.23,141.4,32.67,43.4,76.75,75.78,103.37,80.2,59.03,65.54,98.24,53.85,26.89,93.68,114.4,152.1,126.77,81.26,93.65,65.6,101.31,31.07,32.47,36.7,25.67,44.1,85.01,48.15,10.68,0.0,58.28,9.66,31.77,43.59,74.48,34.12,76.57,13.74,44.47,35.46,118.2,105.22,128.87,93.22,117.48,19.68,16.51,31.51,31.55,28.46,71.56,102.94,34.03,30.94
